"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Chest Fly (Dumbbell)",,"",0,"normal",40,8,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Chest Fly (Dumbbell)",,"",1,"normal",40,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Chest Fly (Dumbbell)",,"",2,"normal",40,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Front Raise (Dumbbell)",,"",0,"normal",10,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Front Raise (Dumbbell)",,"",1,"normal",10,8,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Front Raise (Dumbbell)",,"",2,"normal",10,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Alzate Laterali (Manubri) - Panca Inclinata",,"",0,"normal",10,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Alzate Laterali (Manubri) - Panca Inclinata",,"",1,"normal",10,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Alzate Laterali (Manubri) - Panca Inclinata",,"",2,"normal",10,12,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Bicep Curl (Dumbbell)",,"",0,"normal",20,8,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Bicep Curl (Dumbbell)",,"",1,"normal",20,7,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Bicep Curl (Dumbbell)",,"",2,"normal",20,8,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Skullcrusher (Barbell)",,"",0,"normal",35,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Skullcrusher (Barbell)",,"",1,"normal",35,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Skullcrusher (Barbell)",,"",2,"normal",35,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Single Arm Lat Pulldown",,"",0,"normal",60,8,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Single Arm Lat Pulldown",,"",1,"normal",60,10,,,
"Allenamento mattutino ☀️","4 Jul 2025, 07:22","4 Jul 2025, 08:07","","Single Arm Lat Pulldown",,"",2,"normal",60,8,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Bench Press (Barbell)",,"",0,"normal",70,4,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Bench Press (Barbell)",,"",1,"normal",80,6,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Bench Press (Barbell)",,"",2,"normal",80,6,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Bench Press (Barbell)",,"",3,"normal",80,5,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Bench Press (Barbell)",,"",4,"normal",80,5,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Preacher Curl (Barbell)",,"",0,"normal",35,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Preacher Curl (Barbell)",,"",1,"normal",35,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Preacher Curl (Barbell)",,"",2,"normal",35,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Preacher Curl (Barbell)",,"",3,"normal",38,4,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Straight Arm Lat Pulldown (Cable)",,"",0,"normal",32.5,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Straight Arm Lat Pulldown (Cable)",,"",1,"normal",32.5,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Straight Arm Lat Pulldown (Cable)",,"",2,"normal",32.5,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Triceps Pushdown",,"",0,"normal",35,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Triceps Pushdown",,"",1,"normal",37.5,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Triceps Pushdown",,"",2,"normal",40,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Glute Bridge",,"",0,"normal",,50,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Glute Bridge",,"",1,"normal",,50,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Glute Bridge",,"",2,"normal",,50,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Shoulder Taps",,"",0,"normal",,50,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Shoulder Taps",,"",1,"normal",,50,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Shoulder Taps",,"",2,"normal",,50,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Wide Pull Up",,"",0,"normal",,14,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Wide Pull Up",,"",1,"normal",,12,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Wide Pull Up",,"",2,"normal",,10,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Toes to Bar",,"",0,"normal",,5,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Toes to Bar",,"",1,"normal",,6,,,
"Allenamento serale 🏋️","3 Jul 2025, 18:03","3 Jul 2025, 19:32","","Toes to Bar",,"",2,"normal",,6,,,
"Giorno 1: Petto e bicipiti","1 Jul 2025, 07:41","1 Jul 2025, 08:34","","Incline Bench Press (Dumbbell)",,"",0,"normal",44,12,,,
"Giorno 1: Petto e bicipiti","1 Jul 2025, 07:41","1 Jul 2025, 08:34","","Incline Bench Press (Dumbbell)",,"",1,"normal",52,12,,,
"Giorno 1: Petto e bicipiti","1 Jul 2025, 07:41","1 Jul 2025, 08:34","","Incline Bench Press (Dumbbell)",,"",2,"normal",52,12,,,
"Giorno 1: Petto e bicipiti","1 Jul 2025, 07:41","1 Jul 2025, 08:34","","Incline Bench Press (Dumbbell)",,"",3,"normal",52,12,,,
